timestamp,source_ip,destination_ip,destination_port,protocol,action,bytes_sent,bytes_received,username,event_type,severity,description
2024-03-01 00:03:21,192.168.1.105,10.0.0.1,22,TCP,ALLOW,1240,980,jsmith,SSH_LOGIN,LOW,Successful SSH login
2024-03-01 00:07:45,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:01,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:17,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:33,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:49,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:09:05,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:12:33,10.0.0.22,8.8.8.8,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
2024-03-01 00:15:10,10.0.0.45,192.168.1.1,80,TCP,ALLOW,2048,15360,bwilliams,HTTP_REQUEST,LOW,Normal web browsing
2024-03-01 00:22:44,10.0.0.99,172.16.0.5,445,TCP,ALLOW,4096,0,tadmin,SMB_ACCESS,MEDIUM,SMB file share access
2024-03-01 00:31:05,198.51.100.77,10.0.0.10,443,TCP,ALLOW,512,1024,unknown,HTTPS_REQUEST,LOW,HTTPS connection established
2024-03-01 00:45:18,10.0.0.15,10.0.0.1,22,TCP,ALLOW,980,760,rjones,SSH_LOGIN,LOW,Successful SSH login
2024-03-01 01:02:55,203.0.113.50,10.0.0.5,80,TCP,ALLOW,300,800,unknown,HTTP_REQUEST,LOW,HTTP GET request
2024-03-01 01:14:30,10.0.0.33,10.0.0.200,3306,TCP,ALLOW,2560,51200,dbuser,DB_ACCESS,MEDIUM,MySQL database access
2024-03-01 01:28:44,10.0.0.77,8.8.4.4,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
2024-03-01 01:45:02,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:08,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:14,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:20,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:26,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:32,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:38,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:44,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:50,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
